Network	Station	Phase	Time	Time_trunc
AZ	TRO	S	2016-06-10T16:58:35.008300	2016-06-10T16:58:35
AZ	TRO	S	2016-06-10T17:06:11.108300	2016-06-10T17:06:11
AZ	TRO	S	2016-06-10T17:11:51.108300	2016-06-10T17:11:51
AZ	TRO	S	2016-06-10T17:23:33.008300	2016-06-10T17:23:33
AZ	TRO	S	2016-06-10T17:23:33.008300	2016-06-10T17:23:33
AZ	TRO	S	2016-06-10T17:31:18.108300	2016-06-10T17:31:18
AZ	TRO	S	2016-06-10T17:33:23.608300	2016-06-10T17:33:23
AZ	TRO	S	2016-06-10T17:40:47.508300	2016-06-10T17:40:47
AZ	TRO	S	2016-06-10T17:46:16.908300	2016-06-10T17:46:16
AZ	TRO	S	2016-06-10T17:51:45.108300	2016-06-10T17:51:45
AZ	TRO	S	2016-06-10T17:53:10.908300	2016-06-10T17:53:10
AZ	TRO	S	2016-06-10T17:54:00.908300	2016-06-10T17:54:00
AZ	TRO	S	2016-06-10T17:54:00.908300	2016-06-10T17:54:00
AZ	TRO	S	2016-06-10T17:56:32.408300	2016-06-10T17:56:32
AZ	TRO	S	2016-06-10T17:58:57.908300	2016-06-10T17:58:57
AZ	TRO	S	2016-06-10T17:59:43.008300	2016-06-10T17:59:43
AZ	TRO	S	2016-06-10T18:05:09.308300	2016-06-10T18:05:09
AZ	TRO	S	2016-06-10T18:06:20.708300	2016-06-10T18:06:20
AZ	TRO	S	2016-06-10T18:06:28.508300	2016-06-10T18:06:28
AZ	TRO	S	2016-06-10T18:11:29.908300	2016-06-10T18:11:29
AZ	TRO	S	2016-06-10T18:14:32.508300	2016-06-10T18:14:32
AZ	TRO	S	2016-06-10T18:16:42.208300	2016-06-10T18:16:42
AZ	TRO	P	2016-06-10T18:40:34.908300	2016-06-10T18:40:34
AZ	TRO	S	2016-06-10T18:30:08.908300	2016-06-10T18:30:08
AZ	TRO	S	2016-06-10T18:32:25.408300	2016-06-10T18:32:25
AZ	TRO	S	2016-06-10T18:40:35.108300	2016-06-10T18:40:35
AZ	TRO	P	2016-06-10T18:40:34.908300	2016-06-10T18:40:34
AZ	TRO	S	2016-06-10T18:40:35.108300	2016-06-10T18:40:35
AZ	TRO	S	2016-06-10T18:41:02.108300	2016-06-10T18:41:02
AZ	TRO	S	2016-06-10T18:41:53.508300	2016-06-10T18:41:53
AZ	TRO	S	2016-06-10T18:46:42.808300	2016-06-10T18:46:42
AZ	TRO	S	2016-06-10T18:50:22.608300	2016-06-10T18:50:22
AZ	TRO	S	2016-06-10T18:52:54.908300	2016-06-10T18:52:54
AZ	TRO	S	2016-06-10T18:55:57.208300	2016-06-10T18:55:57
AZ	TRO	S	2016-06-10T18:55:57.208300	2016-06-10T18:55:57
AZ	TRO	S	2016-06-10T19:12:53.408300	2016-06-10T19:12:53
AZ	TRO	S	2016-06-10T19:15:42.908300	2016-06-10T19:15:42
AZ	TRO	S	2016-06-10T19:16:29.008300	2016-06-10T19:16:29
AZ	TRO	S	2016-06-10T19:20:30.408300	2016-06-10T19:20:30
AZ	TRO	S	2016-06-10T19:22:26.608300	2016-06-10T19:22:26
AZ	TRO	S	2016-06-10T19:31:54.208300	2016-06-10T19:31:54
AZ	TRO	S	2016-06-10T19:34:54.808300	2016-06-10T19:34:54
AZ	TRO	S	2016-06-10T19:41:28.908300	2016-06-10T19:41:28
