# Network Station Phase Time Probability
AZ TRO S 2016-06-10T13:48:51.708300 0.996
AZ TRO S 2016-06-10T13:52:48.208300 0.993
AZ TRO S 2016-06-10T13:56:28.508300 0.959
AZ TRO S 2016-06-10T14:04:58.308300 0.987
AZ TRO S 2016-06-10T14:07:32.308300 0.975
AZ TRO S 2016-06-10T14:11:02.308300 0.951
AZ TRO S 2016-06-10T14:13:57.108300 0.976
AZ TRO S 2016-06-10T14:14:04.008300 0.986
AZ TRO S 2016-06-10T14:18:54.408300 0.996
AZ TRO P 2016-06-10T14:28:34.808300 0.952
AZ TRO S 2016-06-10T14:18:54.408300 0.996
AZ TRO S 2016-06-10T14:24:35.408300 0.983
AZ TRO S 2016-06-10T14:28:36.908300 0.976
AZ TRO S 2016-06-10T14:32:57.108300 0.978
AZ TRO S 2016-06-10T14:33:43.208300 0.966
AZ TRO S 2016-06-10T14:34:36.208300 0.980
AZ TRO S 2016-06-10T14:34:36.208300 0.980
AZ TRO S 2016-06-10T14:35:34.608300 0.992
AZ TRO S 2016-06-10T14:39:38.408300 0.987
AZ TRO S 2016-06-10T14:46:52.208300 0.987
AZ TRO S 2016-06-10T14:50:53.808300 0.991
AZ TRO S 2016-06-10T14:51:24.108300 0.964
AZ TRO S 2016-06-10T15:02:07.608300 0.986
AZ TRO S 2016-06-10T15:10:01.108300 0.988
AZ TRO S 2016-06-10T15:15:11.208300 0.956
AZ TRO S 2016-06-10T15:16:49.908300 0.952
AZ TRO S 2016-06-10T15:21:09.308300 0.957
AZ TRO S 2016-06-10T15:21:09.308300 0.957
AZ TRO S 2016-06-10T15:21:48.608300 0.992
AZ TRO S 2016-06-10T15:23:04.108300 0.970
AZ TRO S 2016-06-10T15:24:05.208300 0.991
AZ TRO S 2016-06-10T15:24:13.308300 0.987
AZ TRO S 2016-06-10T15:24:34.208300 0.974
AZ TRO S 2016-06-10T15:24:48.908300 0.993
AZ TRO S 2016-06-10T15:27:25.908300 0.980
AZ TRO S 2016-06-10T15:31:08.308300 0.968
AZ TRO S 2016-06-10T15:33:02.108300 0.963
AZ TRO S 2016-06-10T15:33:55.108300 0.990
AZ TRO S 2016-06-10T15:41:12.308300 0.985
AZ TRO S 2016-06-10T15:50:05.908300 0.987
AZ TRO S 2016-06-10T15:51:38.008300 0.981
AZ TRO S 2016-06-10T15:51:43.908300 0.985
AZ TRO S 2016-06-10T15:51:38.008300 0.981
AZ TRO S 2016-06-10T15:51:43.908300 0.985
AZ TRO S 2016-06-10T15:55:57.408300 0.985
AZ TRO S 2016-06-10T15:56:30.508300 0.984
AZ TRO S 2016-06-10T15:58:05.308300 0.965
AZ TRO S 2016-06-10T16:00:43.108300 0.988
AZ TRO S 2016-06-10T16:01:18.008300 0.971
AZ TRO S 2016-06-10T16:01:43.108300 0.995
AZ TRO S 2016-06-10T16:05:56.008300 0.981
AZ TRO S 2016-06-10T16:06:38.308300 0.995
AZ TRO S 2016-06-10T16:06:38.308300 0.995
AZ TRO S 2016-06-10T16:08:26.708300 0.991
AZ TRO S 2016-06-10T16:19:07.708300 0.997
AZ TRO S 2016-06-10T16:22:04.208300 0.988
AZ TRO S 2016-06-10T16:22:04.208300 0.988
AZ TRO S 2016-06-10T16:23:27.808300 0.993
AZ TRO S 2016-06-10T16:31:35.708300 0.991
AZ TRO S 2016-06-10T16:32:32.908300 0.979
AZ TRO S 2016-06-10T16:33:05.108300 0.961
AZ TRO S 2016-06-10T16:33:46.508300 0.986
AZ TRO S 2016-06-10T16:37:43.508300 0.981
AZ TRO S 2016-06-10T16:37:43.508300 0.981
AZ TRO S 2016-06-10T16:40:01.608300 0.986
AZ TRO S 2016-06-10T16:40:33.508300 0.988
AZ TRO S 2016-06-10T16:42:29.708300 0.964
AZ TRO S 2016-06-10T16:45:42.608300 0.990
AZ TRO S 2016-06-10T16:49:27.708300 0.981
AZ TRO S 2016-06-10T16:50:00.408300 0.993
AZ TRO S 2016-06-10T16:51:25.308300 0.992
AZ TRO S 2016-06-10T16:51:45.608300 0.980
AZ TRO S 2016-06-10T16:53:58.408300 0.995
AZ TRO S 2016-06-10T17:00:56.708300 0.990
AZ TRO S 2016-06-10T17:09:06.808300 0.960
AZ TRO S 2016-06-10T17:12:18.908300 0.989
AZ TRO S 2016-06-10T17:18:30.808300 0.990
AZ TRO S 2016-06-10T17:23:33.008300 0.964
AZ TRO S 2016-06-10T17:23:33.008300 0.964
AZ TRO S 2016-06-10T17:26:02.308300 0.953
AZ TRO S 2016-06-10T17:29:31.208300 0.959
AZ TRO S 2016-06-10T17:31:18.108300 0.987
AZ TRO S 2016-06-10T17:34:40.608300 0.963
AZ TRO S 2016-06-10T17:35:35.408300 0.989
AZ TRO S 2016-06-10T17:36:43.608300 0.976
AZ TRO S 2016-06-10T17:44:40.308300 0.969
AZ TRO S 2016-06-10T17:44:56.408300 0.984
AZ TRO S 2016-06-10T17:46:17.008300 0.971
AZ TRO S 2016-06-10T17:49:31.408300 0.987
AZ TRO S 2016-06-10T17:50:58.108300 0.992
AZ TRO S 2016-06-10T17:53:16.708300 0.993
AZ TRO S 2016-06-10T17:54:00.908300 0.959
AZ TRO S 2016-06-10T17:54:00.908300 0.959
AZ TRO S 2016-06-10T17:56:56.908300 0.951
AZ TRO S 2016-06-10T18:00:54.408300 0.974
AZ TRO S 2016-06-10T18:06:45.308300 0.977
AZ TRO S 2016-06-10T18:06:50.808300 0.994
AZ TRO S 2016-06-10T18:09:48.508300 0.968
AZ TRO S 2016-06-10T18:09:48.508300 0.968
